Repository Name,Repository URL,Java Usage (%),Commit Count
opennlp,https://github.com/apache/opennlp,97.48,2252
james-jspf,https://github.com/apache/james-jspf,100.00,728
james-mime4j,https://github.com/apache/james-mime4j,100.00,982
chemistry-opencmis,https://github.com/apache/chemistry-opencmis,98.51,2234
jackrabbit-oak,https://github.com/apache/jackrabbit-oak,98.81,19866
archiva-redback-components,https://github.com/apache/archiva-redback-components,99.67,440
tiles-request,https://github.com/apache/tiles-request,99.80,170
tiles-autotag,https://github.com/apache/tiles-autotag,100.00,121
dubbo,https://github.com/apache/dubbo,99.43,8238
james-postage,https://github.com/apache/james-postage,100.00,79
james-jdkim,https://github.com/apache/james-jdkim,100.00,180
james-jsieve,https://github.com/apache/james-jsieve,99.68,614
odftoolkit,https://github.com/apache/odftoolkit,98.34,822
royale-compiler,https://github.com/apache/royale-compiler,96.85,4900
drill,https://github.com/apache/drill,96.95,4527
directmemory-lightning,https://github.com/apache/directmemory-lightning,99.80,65
cassandra-java-driver,https://github.com/apache/cassandra-java-driver,99.54,1877
commons-net,https://github.com/apache/commons-net,99.99,3757
jena,https://github.com/apache/jena,96.66,11852
incubator-retired-hdt,https://github.com/apache/incubator-retired-hdt,95.26,63
tomee,https://github.com/apache/tomee,99.07,15447
openejb,https://github.com/apache/openejb,97.77,9650
predictionio-sdk-java,https://github.com/apache/predictionio-sdk-java,100.00,130
commons-configuration,https://github.com/apache/commons-configuration,99.93,4376
incubator-stormcrawler,https://github.com/apache/incubator-stormcrawler,100.00,2146
ode-jacob,https://github.com/apache/ode-jacob,100.00,163
oltu,https://github.com/apache/oltu,99.42,860
deltaspike,https://github.com/apache/deltaspike,97.28,2671
sis,https://github.com/apache/sis,99.81,9313
commons-beanutils,https://github.com/apache/commons-beanutils,99.93,2099
commons-csv,https://github.com/apache/commons-csv,99.82,2706
incubator-retired-provisionr,https://github.com/apache/incubator-retired-provisionr,97.74,350
incubator-tez,https://github.com/apache/incubator-tez,99.52,778
logging-log4j2,https://github.com/apache/logging-log4j2,98.25,14404
fluo,https://github.com/apache/fluo,97.43,1023
commons-pool,https://github.com/apache/commons-pool,99.15,3031
commons-dbcp,https://github.com/apache/commons-dbcp,99.58,3323
commons-jcs,https://github.com/apache/commons-jcs,99.34,2646
commons-jelly,https://github.com/apache/commons-jelly,98.12,2197
commons-jexl,https://github.com/apache/commons-jexl,99.99,3448
commons-jxpath,https://github.com/apache/commons-jxpath,98.47,1129
commons-ognl,https://github.com/apache/commons-ognl,99.92,991
commons-proxy,https://github.com/apache/commons-proxy,98.89,604
